Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
ArchiveBox,Semgrep,CWE-601,6,No
ArchiveBox,Semgrep,CWE-79,15,Yes
ArchiveBox,Semgrep,CWE-95,21,No
ArchiveBox,Semgrep,CWE-939,2,No
ArchiveBox,Semgrep,CWE-78,2,Yes
ArchiveBox,Semgrep,CWE-611,2,No
ArchiveBox,Semgrep,CWE-776,1,No
ArchiveBox,Pylint,CWE-UNKNOWN,1,No
ApScheduler,Semgrep,CWE-502,2,Yes
ApScheduler,Pylint,CWE-UNKNOWN,220,No
ApScheduler,Pylint,CWE-829,149,No
ApScheduler,Pylint,CWE-563,2,No
ApScheduler,Pylint,CWE-843,20,No
Requests,Semgrep,CWE-79,13,Yes
Requests,Semgrep,CWE-95,1,No
Requests,Semgrep,CWE-327,3,No
Requests,Bandit,CWE-94,1,Yes
Requests,Bandit,CWE-327,3,No
Requests,Bandit,CWE-400,116,Yes
Requests,Bandit,CWE-502,7,Yes
Requests,Pylint,CWE-UNKNOWN,1,No
